No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
584.00,Financials,G413,Life Insurance,PNLF,Panin Financial Tbk,S,06/30/2022,Dec,U,,33386.05,4693.7,28676.9,2038.53,973.91,974.19,893.97,42.01,895.54,9.09,0.43,0.16,4,5,68,385.0822
585.00,Financials,G412,General Insurance,TUGU,Asuransi Tugu Pratama Indonesia Tbk,S,06/30/2022,Dec,U,,21883.24,12946.08,8937.15,3713.58,265.15,225.39,191.29,204.81,5027.15,11.47,0.47,1.45,2,4,10,2362.7605
586.00,Financials,G412,General Insurance,VINS,Victoria Insurance Tbk,S,06/30/2022,Dec,U,,295.33,109.16,186.17,73.18,1.97,1.97,1.97,8.42,127.46,17.82,1.18,0.59,4,7,17,150.4028
587.00,Financials,G511,Financial Holdings,APIC,Pacific Strategic Financial Tbk,S,06/30/2022,Dec,U,,6612.23,4402.62,2209.61,1241.95,90.34,87.56,86.63,10.53,187.79,113.44,6.36,1.99,1,3,5,1194.3444
588.00,Financials,G511,Financial Holdings,BCAP,MNC Kapital Indonesia Tbk,S,06/30/2022,Dec,U,,22643.45,16601.17,6042.28,1384.39,60.44,61.16,52.38,4.27,141.77,26.95,0.81,2.75,1,3,13,114.8337
589.00,Financials,G511,Financial Holdings,BPII,Batavia Prosperindo Internasional Tbk,S,06/30/2022,Dec,U,,3065.07,1736.47,1328.6,557.07,115.34,87.56,69.33,263.31,2363.11,30,3.34,1.31,5,11,27,7892.7874
590.00,Financials,G511,Financial Holdings,CASA,Capital Financial Indonesia Tbk,S,06/30/2022,Dec,U,,36443.77,24460.41,8421.1,4775.36,31.89,29.29,23.36,0.52,154.58,1483.14,5.01,2.9,0,0,1,774.4458
591.00,Financials,G512,Investment Companies,DNET,PT Indoritel Makmur Internasional Tbk.,S,06/30/2022,Dec,U,,18308.66,6578.38,11730.28,469.74,668.02,645.21,614.6,90.19,827.01,41.13,4.49,0.56,7,11,272,3713.2749
592.00,Financials,G511,Financial Holdings,GSMF,Equity Development Investment Tbk,S,06/30/2022,Dec,A,WTP,5621.84,3039.59,2582.25,264.14,9.18,4.08,3.26,0.34,181.46,242.43,0.45,1.18,0,0,2,81.657
593.00,Financials,G512,Investment Companies,LPPS,PT Lenox Pasifik Investama Tbk,S,06/30/2022,Dec,U,,1143.61,0.04,1143.58,0.1,-97.78,-97.78,-97.78,14.25,441.83,6.45,0.21,0,-13,-13,-142846,92.7843
594.00,Financials,G512,Investment Companies,MGNA,PT Magna Investama Mandiri Tbk,S,06/30/2022,Dec,U,,0.13,3.58,-3.45,0,-1.6,-1.6,-1.6,-1.78,-1.86,-28.16,-26.89,-1.04,-2950,0,0,50.0154
595.00,Financials,G512,Investment Companies,NICK,PT Charnic Capital Tbk.,S,06/30/2022,Dec,U,,310.92,1.65,309.28,-4.27,-5,-5,-5,329.95,474.97,1.35,0.94,0.01,49,49,0,446.4718
596.00,Financials,G511,Financial Holdings,OCAP,Onix Capital Tbk,S,06/30/2022,Dec,U,,8.26,211.94,-203.68,0,-8.67,-8.67,-8.67,-32.53,-745.55,-4.89,-0.21,-1.04,-108,0,0,156.5655
597.00,Financials,G511,Financial Holdings,PEGE,Panca Global Kapital Tbk,S,06/30/2022,Dec,U,,450.31,104.99,345.32,-48.36,-53.19,-53.4,-53.4,-61.43,121.87,-11.15,5.62,0.3,-39,-50,0,684.9094
598.00,Financials,G511,Financial Holdings,PLAS,Polaris Investama Tbk,S,06/30/2020,Dec,U,,185.25,31.27,153.99,1.98,-1.44,-1.49,-1.49,-0.32,130.03,0,0.38,0.2,0,0,-19,49.4114
599.00,Financials,G511,Financial Holdings,POOL,Pool Advista Indonesia Tbk,S,06/30/2022,Dec,U,,410.1,9.75,400.36,19.23,-8.58,-8.58,-8.17,-19.05,170.99,-2.62,0.29,0.02,-11,-11,-232,49.5871
600.00,Financials,G511,Financial Holdings,SFAN,Surya Fajar Capital Tbk,S,06/30/2022,Dec,U,,296.92,116.02,180.9,-0.25,-32.45,-32.45,-33.48,-34.14,133.02,-45.84,11.8,0.64,-16,-26,0,1569.636
601.00,Financials,G511,Financial Holdings,SMMA,Sinarmas Multiartha Tbk,S,06/30/2022,Dec,U,,121937.04,98990.56,22946.49,14842.19,327.08,292.44,254.61,82.77,3603.6,148.61,3.41,4.31,0,2,4,12288.276
602.00,Financials,G512,Investment Companies,SRTG,PT Saratoga Investama Sedaya Tbk.,S,06/30/2022,Dec,U,,62541.92,4071.06,58470.86,1397.31,3858.77,3320.24,3310.28,952.45,4310.47,2.77,0.61,0.07,21,22,925,2629.3867
603.00,Financials,G511,Financial Holdings,STAR,Buana Artha Anugerah Tbk,S,06/30/2022,Dec,U,,510.3,3.12,507.18,2.08,0.8,0.8,0.8,0.95,105.66,130.98,1.18,0.01,1,1,221,124.6788
604.00,Financials,G511,Financial Holdings,VICO,Victoria Investama Tbk,S,06/30/2022,Dec,U,,25793.14,21159.78,3744.89,1146.81,82.54,68.92,25.46,-3.51,372.09,-47.02,0.44,5.65,0,-1,-2,163.7196
605.00,Properties & Real Estate,H111,Real Estate Development & Management,ADCP,Adhi Commuter Properti Tbk,S,06/30/2022,Dec,U,,6219.18,3828.61,2390.57,307.98,37.63,37.59,37.59,6.03,107.58,13.27,0.75,1.6,2,6,44,80.685
606.00,Properties & Real Estate,H111,Real Estate Development & Management,AMAN,Makmur Berkah Amanda Tbk,S,06/30/2022,Dec,U,,880.6,256.53,624.08,45.65,4.91,4.77,6.13,7.99,161.11,80.71,4,0.41,4,6,78,644.44
607.00,Properties & Real Estate,H111,Real Estate Development & Management,APLN,Agung Podomoro Land Tbk,S,06/30/2022,Dec,LR,,29048.37,18771.81,10276.56,2202.59,-139.82,-233.95,-383.41,-19.49,452.73,-6.11,0.26,1.83,-2,-6,-28,117.7098
608.00,Properties & Real Estate,H111,Real Estate Development & Management,ARMY,Armidian Karyatama Tbk,S,09/30/2021,Dec,U,,1713.25,237.05,1476.2,41.34,3.35,3.35,3.35,0.61,163.91,81.64,0.31,0.16,0,0,13,50.8121
609.00,Properties & Real Estate,H111,Real Estate Development & Management,ASPI,Andalan Sakti Primaindo Tbk,S,06/30/2022,Dec,U,,101.79,28.79,72.99,4.57,0.05,0.05,0.1,-1.35,107.06,-67.23,0.85,0.39,-1,-1,-18,91.001
610.00,Properties & Real Estate,H111,Real Estate Development & Management,ASRI,Alam Sutera Realty Tbk,S,06/30/2022,Dec,U,,21840.54,12082.43,9758.1,1953.91,208.47,218.5,216.84,30.91,496.61,5.6,0.34,1.24,3,6,31,168.8474
611.00,Properties & Real Estate,H111,Real Estate Development & Management,ATAP,Trimitra Prawara Goldland Tbk,S,06/30/2022,Dec,U,,110.85,32.36,78.49,13.66,0.58,0.19,0.19,1.23,62.79,87.73,1.72,0.41,1,2,11,107.9988
612.00,Properties & Real Estate,H111,Real Estate Development & Management,BAPA,Bekasi Asri Pemula Tbk,S,06/30/2022,Dec,U,,137.31,6.89,130.41,1.92,-2.11,-2.11,-2.11,-2.68,197.06,-58.69,0.85,0.05,-1,-1,-92,167.501
613.00,Properties & Real Estate,H111,Real Estate Development & Management,BAPI,Bhakti Agung Propertindo Tbk,S,06/30/2022,Dec,U,,644.94,216.89,428.05,10.23,0.56,0.3,0.3,-0.17,76.55,-287.56,0.65,0.51,1,1,33,49.7575
614.00,Properties & Real Estate,H111,Real Estate Development & Management,BBSS,Bumi Benowo Sukses Sejahtera Tbk,S,06/30/2022,Dec,U,,253.62,3.47,250.15,0.43,-0.62,-0.67,-0.67,-0.22,52.11,-261.44,1.19,0.01,0,0,-247,62.0109
